Ep #,Misery,Score,VNTO,Reward,Win,Comments,question_tag,level
1x01,You Send a Nude Selfie to HR by mistake,70,T,,,,1_base,
1x01,You find Maggots in your Fried Rice,45,T,,,,1_base,
1x01,You are Attacked by a bear after Reasoning with the bear,52,V,500,n,,1_1,higher
1x01,You Left your Mic On and Went Toilet,49,V,500,y,,1_2,
1x01,You go to a doctor. Doctor Borrows $300k from you and  then diagnoses you with Dementia,76,N,,,,2_1_base,
1x01,You are breastfed until you are 9,63,N,,,,2_2_base,
1x01,You are Fired After Donating Kidney to help your Boss,69,N,1000,n,,2_1,
1x01,You as a Teen are forced by your parents to Live in Woods for eating a pop-tart,69,N,1000,y,,2_2,
1x01,You offend a room of feminist panelists,47,V,2000,y,,3,51
1x01,You discover your wife cheating in your Uber,76,N,5000,n,,4_1,lower
1x01,You are in an Escalator which Speeds Up,32,V,10000,y,,4_2,
1x01,Your testicles get stuck in the shower stool,49,N,15000,y,,4_3,
1x02,Your Parents Leave You in a Corn Maze,75,N,,,,2_1_base,
1x02,You bite Your Tongue Off,73,T,,,,1_base,
1x02,Your Wife Calls out Your Cheating on Billboard,71,N,1000,y,(Snopes says did not happen),2_2,
1x02,You Burn Your Penis Trying to Whiten It,69,N,1000,n,,2_1,
1x02,Your Toes Replace Your Fingers,68,V,500,y,,1_1,
1x02,You Plummet 30 Stories (you survived it!),67,V,500,n,(can't find exact video),1_2,higher
1x02,Wife Buys Newspaper Ad About You and Baby Mama,62,N,,,,2_2_base,
1x02,You Think You Won a Prize; Actually Getting Arrested,62,V,10000,n,,4_2,lower
1x02,Your Daughter Marries a Roller Coaster,60,N,15000,y,,4_3,
1x02,You are attacked by a Swarm of Bees,44,T,,,,1_base,
1x02,You Publicly Ask for Toilet Paper while you are pooping in the toilet,38,V,2000,y,,3,36
1x02,You Have a Giant Black Pimple,37,N,5000,y,,4_1,
1x03,You Lose an Arm in Grinder,96,N,1000,y,,2_1,
1x03,You Contract Super-Gonorrhea,81,N,,,,2_2_base,
1x03,You're an Anti-gay Pastor Caught on Grindr,74,N,,,,2_1_base,
1x03,Live Tapeworm in Your Brain,73,N,1000,n,,2_2,
1x03,Fired for Letting Kids Drive Your Bus,71,V,2000,y,(can't find exact video),3,56
