,Misery,gpt-4o,gpt-4o-mini,gpt-3.5-turbo,labels
0,You Mistakenly overshare With Your Uber Driver,3,2,4,1
1,Your Kid Drops the Cymbals in their School Assembly while playing the national anthem,3,3,7,1
2,You're Offered Taint for Your Christmas Meal,2,3,9,1
3,Your Dog Embarrasses you by holding onto your SUV's car horn for a long time,2,4,4,1
4,You have a Drunken Makeout with an Old Lady,3,3,4,2
5,Your Drunk Mom Complains About her Sex Life,3,4,7,2
6,Your Pubes are Caught in your Zipper,3,2,9,2
7,Online Dating Match Mocks Your Late Boyfriend,6,8,9,2
8,Your First Kiss Ever is at Your Wedding,3,5,9,2
9,You're a Cow's Midwife,1,4,9,2
10,You Walk Into a Streetlight,2,2,3,2
11,You Sit Next to the Bathroom on a 14-Hour Flight,3,4,8,2
12,Your Ex Makes a Sex Doll of You,7,7,8,2
13,Your Child Joins an A Cappella Group,2,3,4,2
14,A Creepy Stranger Watches You Workout,3,4,7,2
15,You Have to Jerk Off an Old Man's Toe,3,6,10,2
16,A Stranger Ruins Your UNIVERSAL STUDIOS Tour,2,5,3,2
17,Your Husband Has the World's Longest Ear Hair,3,3,2,2
18,Your Kids Give Themselves Haircuts,3,4,7,2
19,Your Present Flies Into the Fire,3,8,8,2
20,You Crash Into the Christmas Tree,3,3,4,2
21,Your Hide-a-Bed Eats You,3,3,10,2
22,Oops! You Take Your Dog to a Furry Convention,2,3,2,2
23,You Spill Glitter All Over Your Couch,3,2,2,2
24,Your Ice Hockey Team Can't Skate and the players fell while getting on the ice,3,3,3,2
25,You Drop Your Dinner,2,3,3,2
26,You Hit a Nun with a Golf Ball,4,4,8,2
27,You are in an Escalator which Speeds Up,3,4,7,3
28,You Publicly Ask for Toilet Paper while you are pooping in the toilet,4,4,8,3
29,You Have a Giant Black Pimple,3,3,4,3
30,You Are Sprayed by a Skunk,3,3,8,3
31,Surprise! You Were a Surprise,2,3,6,3
32,You're Stuck on 8 Hour Flight with Demon Child,4,6,9,3
33,Your Dog Eats Your Neighbor's Bunny,6,4,7,3
34,Your Partner Screams Their Ex's Name During Sex,6,7,9,3
35,Yes Even YOU as a Bill Mitchell Can Be Hacked,3,4,8,3
36,You Meet a Friendly Masturbator,4,2,7,3
37,You Pass a Kidney Stone,8,8,8,3
38,Your Bedtime Story; Parents Who Fight,6,6,8,3
39,Your First Kiss Goes Viral,3,4,7,3
40,Your Seatmate Dries her Underwear,2,4,4,3
41,Brother-In-Law is in Love With You,3,4,8,3
42,You Accidentally Kick a Baby in the Face,5,8,9,3
43,You Choke on a Crumpet During High Tea,3,3,3,3
44,You Fall During the Changing of the Guard,3,3,4,3
45,Your Neighbors Have the Loudest Sex in NY,3,4,8,3
46,Rats Steal Your Toddler's Snacks,3,3,7,3
47,A Python Comes Out of Your Bathroom,7,4,3,3
48,Stuck in Jail Overnight With Your Ex,6,6,8,3
49,You Pee Your Pants in Public,3,4,8,3
50,Your Car is Kangarooed,3,4,7,3
51,You Lose Your Eyebrows,3,3,3,3
52,You Rip Out all your eyelashes off because of an eyelash curler,4,7,9,3
53,Your Dad is Sleeping With a Sex Doll,2,4,8,3
54,Your Mom Talks About Anal,3,3,8,3
55,Your Neighbor's Halloween Display Gives You Nightmares,3,3,4,3
56,Train Hits You With a Snow Tsunami,3,10,10,3
57,Your Ex is Dating a Brazilian Model,3,4,6,3
58,A Woman Gives Birth In Your Cab,3,6,9,3
59,You Faint During Your Friend's Wedding,4,4,7,3
60,Your Luggage Arrives Soaking Wet,3,4,4,3
61,Your Wedding Officiant Pukes Mid-Vows,3,3,8,3
62,Your Kid Mocks Your Sex Noises,2,4,8,3
63,You discover that you are the Face of  Ukrainian Erectile Dysfunction Pills,4,3,8,3
64,You're Ignored in a Threesome,4,4,7,3
65,You Look Like a Doodle,2,2,2,3
66,A Moose Knocks You Off Your Bike,4,4,6,3
67,Your Dog Pees in Your Mouth,5,9,10,3
68,Your Feet Appear on a Fetish Website,3,4,7,3
69,You're Forced to Go Skydiving,3,3,8,3
70,Coworker Keeps Eating Your Lunch,3,4,7,3
71,You Are Windmilled,3,3,8,3
72,A Frog Jumps In Your Mouth,2,3,7,3
73,Your Long-Lost Sibling is an A-Hole,4,4,8,3
74,You Launch Your Kid Into a Wall,9,8,10,3
